1,Adele,dance pop pop post-teen pop,https://www.billboard.com/files/styles/article_main_image/public/media/Adele-2015-press-Alasdair-McLellan-XL-billboard-650-2.jpg
2,Joey + Rory,contemporary country country country christmas country dawn country road ,http://cdn.hallels.com/data/images/full/13944/joey-rory-feek.jpg?w=620
3,Draaco Aventura,popular singer dancer ,http://a2-images.myspacecdn.com/images04/2/0f53c41a8cb24a8d8c08cd0b17a6905e/300x300.jpg
4,Justin Bieber,canadian pop dance pop pop pop christmas post-teen pop ,http://www.idolator.com/wp-content/uploads/sites/10/2016/08/justin-bieber-620x413.jpg
5,Peer Van Mladen,popular singer dancer ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
6,Chris Janson,contemporary country country country road lift kit modern country rock redneck ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
7,One Direction,boy band dance pop pop post-teen pop talent show ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
8,Drake,canadian pop hip hop pop rap rap ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
9,Carrie Underwood,contemporary country country country christmas country dawn country road dance pop neo mellow pop pop christmas post-teen pop ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
10,Ed Sheeran,pop ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
11,Taylor Swift,dance pop pop pop christmas post-teen pop ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
12,SayWeCanFly,pixie pop emo ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
13,Selena Gomez,dance pop pop post-teen pop ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
14,Chris Brown,dance pop pop pop christmas pop rap r&b rap soul christmas ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
15,Nicki Minaj,dance pop hip pop pop pop rap rap ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
16,Fifth Harmony,dance pop pop post-teen pop talent show ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
17,Thomas Rhett,contemporary country country road ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
18,Eminem,detroit hip hop g funk hip hop pop rap rap ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
19,BeyoncÍ©,dance pop pop pop rap post-teen pop r&b ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
20,Meghan Trainor,dance pop hip pop pop post-teen pop r&b ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
21,Twenty One Pilots,modern rock pop punk ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
22,Fetty Wap,dance pop dwn trap hip hop pop rap rap southern hip hop trap music ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
23,5 Seconds of Summer,pop pop punk post-teen pop teen pop viral pop ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
24,Jason Aldean,contemporary country country country road modern country rock ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
25,Luke Bryan,contemporary country country country christmas country road modern country rock ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
26,Blake Shelton,contemporary country country country christmas country road modern country rock pop christmas ,http://allesinalab.uchicago.edu/wp-content/uploads/2014/05/Unknown-person.gif
